Employee ID,Date,Checkin,CheckOut,BiometricCheckIn,BiometricCheckOut,GrossHours,IsHoliday,IsWeekend
PSA-008,01/10/2025,28:00.0,23:00.0,,,8.916666,0,0
PSA-008,02/10/2025,,,,,,1,0
PSA-008,03/10/2025,32:00.0,,,,,0,0
PSA-008,04/10/2025,,,,,,0,1
PSA-008,05/10/2025,,,,,,0,1
PSA-008,06/10/2025,,,,,,0,0
PSA-008,07/10/2025,54:00.0,,,,,0,0
PSA-008,08/10/2025,05:00.0,03:00.0,05:41.0,03:27.0,3.966666,0,0
PSA-008,09/10/2025,,,,,,0,0
PSA-008,10/10/2025,,,,,,0,0
PSA-008,11/10/2025,,,,,,0,1
PSA-008,12/10/2025,,,,,,0,1
PSA-008,13/10/2025,31:00.0,30:00.0,31:14.0,30:27.0,3.983333,0,0
PSA-008,14/10/2025,,,,,,0,0
PSA-008,15/10/2025,01:00.0,05:00.0,,,9.066666,0,0
PSA-008,16/10/2025,21:00.0,49:00.0,21:29.0,49:08.0,4.466666,0,0
PSA-008,17/10/2025,,,,,,0,0
PSA-008,18/10/2025,14:00.0,00:00.0,14:46.0,00:01.0,0.766666,0,1
PSA-008,19/10/2025,,,,,,0,1
PSA-008,20/10/2025,,,,,,1,0
PSA-008,21/10/2025,16:00.0,,,,,0,0
PSA-008,22/10/2025,44:00.0,55:00.0,,,10.183333,0,0
PSA-008,23/10/2025,11:00.0,04:00.0,11:49.0,33:51.0,9.883333,0,0
PSA-008,24/10/2025,30:00.0,51:00.0,30:37.0,51:28.0,3.35,0,0
PSA-008,25/10/2025,,,,,,0,1
PSA-008,26/10/2025,,,,,,0,1
PSA-008,27/10/2025,,,,,,0,0
PSA-008,28/10/2025,14:00.0,00:00.0,14:45.0,00:52.0,4.766666,0,0
PSA-008,29/10/2025,,,,,,0,0
PSA-008,30/10/2025,33:00.0,45:00.0,33:48.0,45:29.0,4.2,0,0
PSA-008,31/10/2025,,,,,,0,0
PSA-008,01/11/2025,,,,,,0,1
PSA-008,02/11/2025,,,,,,0,1
PSA-008,03/11/2025,51:00.0,28:00.0,51:10.0,28:52.0,5.616666,0,0
PSA-008,04/11/2025,,,,,,0,0
PSA-008,05/11/2025,,,,,,1,0
PSA-008,06/11/2025,13:00.0,36:00.0,13:43.0,36:46.0,5.383333,0,0
PSA-008,07/11/2025,,,,,,0,0
PSA-008,08/11/2025,,,,,,0,1
PSA-008,09/11/2025,,,,,,0,1
PSA-008,10/11/2025,,,,,,0,0
PSA-008,11/11/2025,31:00.0,43:00.0,31:44.0,43:09.0,5.2,0,0
PSA-008,12/11/2025,,,,,,0,0
PSA-008,13/11/2025,24:00.0,16:00.0,24:59.0,16:06.0,4.866666,0,0
PSA-008,14/11/2025,33:00.0,42:00.0,33:22.0,42:55.0,3.15,0,0
PSA-008,15/11/2025,,,,,,0,1
PSA-008,16/11/2025,,,,,,0,1
PSA-008,17/11/2025,12:00.0,,,,,0,0
PSA-008,18/11/2025,,,,,,0,0
PSA-008,19/11/2025,,,,,,0,0
PSA-008,20/11/2025,21:00.0,57:00.0,21:16.0,57:11.0,5.6,0,0
PSA-008,21/11/2025,44:00.0,07:00.0,44:16.0,07:31.0,6.383333,0,0
PSA-008,22/11/2025,,,,,,0,1
PSA-008,23/11/2025,,,,,,0,1
PSA-008,24/11/2025,59:00.0,15:00.0,59:41.0,15:48.0,6.266666,0,0
PSA-008,25/11/2025,17:00.0,14:00.0,17:07.0,14:03.0,5.95,0,0
PSA-008,26/11/2025,,,,,,0,0
PSA-008,27/11/2025,37:00.0,01:00.0,37:35.0,01:11.0,6.4,0,0
